#{"t_start": 1782183789.7660842, "env_id": "None"}
r,l,t,true_done
0.53,48,0.713143,True
-0.5,50,0.738091,False
-0.5,50,0.763145,False
0.5,50,0.788536,False
-0.5,50,0.813336,False
1.5,50,0.837775,False
-0.5,50,0.862283,False
-0.5,50,0.886827,False
1.5,50,0.912398,False
-0.5,50,0.938873,False
0.5,50,0.96415,False
3.5,50,0.988472,False
1.67,34,1.005712,True
0.5,50,1.030343,False
0.5,50,1.054918,False
-0.5,50,1.079163,False
-0.5,50,1.104223,False
3.5,50,1.129874,False
0.5,50,1.156596,False
-0.5,50,1.184295,False
-0.5,50,1.21247,False
-0.5,50,1.238639,False
-0.5,50,1.264523,False
0.5,50,1.289163,False
0.5,50,1.315223,False
-0.5,50,1.340458,False
1.5,50,1.365555,False
0.5,50,1.389958,False
-0.5,50,1.415084,False
-0.5,50,1.440046,False
0.5,50,1.465218,False
1.5,50,1.489743,False
-0.5,50,1.514223,False
2.74,27,1.527422,True
-0.5,50,1.553149,False
0.57,44,1.574596,True
1.5,50,1.598444,False
-0.5,50,1.62339,False
0.5,50,1.647623,False
1.5,50,1.672146,False
0.5,50,1.6964,False
-0.5,50,2.624504,False
0.5,50,2.650986,False
3.51,50,2.679417,True
2.5,50,2.708074,False
-0.5,50,2.734595,False
-0.5,50,2.761335,False
-0.5,50,2.790119,False
0.84,17,2.799906,True
-0.5,50,2.826728,False
0.5,50,2.851205,False
1.75,26,2.864239,True
3.52,49,2.887301,True
3.64,37,2.905453,True
0.5,50,2.929772,False
-0.5,50,2.953927,False
-0.5,50,2.978165,False
-0.5,50,3.002915,False
0.5,50,3.027163,False
0.78,23,3.039398,True
1.5,50,3.063984,False
-0.5,50,3.089258,False
2.5,50,3.114476,False
0.5,50,3.155993,False
-0.5,50,3.188509,False
-0.5,50,3.227188,False
-0.5,50,3.253953,False
2.63,38,3.273255,True
0.67,34,3.289962,True
0.5,50,3.316867,False
1.5,50,3.342231,False
-0.5,50,3.368236,False
-0.5,50,3.393066,False
0.5,50,3.417978,False
0.63,38,3.436445,True
-0.5,50,3.460933,False
-0.5,50,3.485708,False
3.5,50,3.51041,False
0.55,46,3.533456,True
0.5,50,3.558307,False
-0.5,50,3.582965,False
-0.5,50,3.608117,False
-0.5,50,3.632626,False
1.5,50,3.65802,False
0.5,50,3.681857,False
0.51,50,4.731197,True
4.52,49,4.761485,True
-0.5,50,4.793036,False
1.56,45,4.818694,True
0.5,50,4.84805,False
-0.5,50,4.87746,False
0.56,45,4.905822,True
2.5,50,4.934272,False
2.61,40,4.955508,True
-0.5,50,4.982573,False
-0.5,50,5.008975,False
-0.5,50,5.035549,False
2.7,31,5.0516,True
0.5,50,5.077023,False
0.82,19,5.087114,True
0.71,30,5.102632,True
0.86,15,5.110185,True
2.54,47,5.133951,True
5.5,50,5.159705,False
-0.5,50,5.184597,False
0.66,35,5.203759,True
1.68,33,5.220675,True
1.62,39,5.240366,True
1.8,21,5.251037,True
1.69,32,5.267302,True
0.5,50,5.291466,False
0.5,50,5.317067,False
0.63,38,5.336671,True
1.69,32,5.352938,True
1.51,50,5.377459,True
2.5,50,5.402093,False
0.75,26,5.414945,True
1.76,25,5.427516,True
0.5,50,5.45261,False
0.5,50,5.477171,False
1.62,39,5.496079,True
0.77,24,5.508269,True
7.5,50,5.53331,False
1.67,34,5.552152,True
1.54,47,5.577202,True
0.76,25,5.590503,True
-0.5,50,5.617151,False
4.72,29,5.631721,True
0.64,37,5.649605,True
1.55,46,5.67228,True
0.71,30,5.687095,True
2.62,39,5.706335,True
3.5,50,5.731512,False
0.64,37,5.750251,True
1.77,24,5.762202,True
0.5,50,5.786549,False
0.5,50,6.815342,False
1.75,26,6.832676,True
0.64,37,6.854731,True
1.81,20,6.867428,True
0.7,31,6.887399,True
0.82,19,6.900044,True
0.64,37,6.923844,True
1.75,26,6.941081,True
1.67,34,6.962672,True
0.57,44,6.988669,True
0.85,16,6.998674,True
0.68,33,7.016752,True
0.69,32,7.034397,True
4.74,27,7.04777,True
-0.5,50,7.073086,False
2.72,29,7.088468,True
1.69,32,7.104931,True
0.5,50,7.131075,False
0.57,44,7.154065,True
0.66,35,7.172056,True
0.79,22,7.18378,True
0.67,34,7.20203,True
0.75,26,7.216172,True
1.78,23,7.227853,True
3.55,46,7.252548,True
1.82,19,7.262348,True
1.75,26,7.276581,True
2.5,50,7.302805,False
0.66,35,7.321915,True
1.67,34,7.340262,True
3.61,40,7.36112,True
1.77,24,7.373464,True
0.82,19,7.383113,True
2.87,14,7.390265,True
1.78,23,7.402087,True
0.81,20,7.412238,True
0.75,26,7.425917,True
0.5,50,7.451274,False
-0.5,50,7.476921,False
-0.5,50,7.503293,False
3.65,36,7.521625,True
0.75,26,7.53514,True
1.87,14,7.542148,True
1.81,20,7.552794,True
0.66,35,7.570917,True
1.71,30,7.58635,True
2.68,33,7.60328,True
1.5,50,7.629479,False
1.69,32,7.645713,True
0.79,22,7.656721,True
3.68,33,7.673612,True
0.8,21,7.684772,True
0.81,20,7.694919,True
2.77,24,7.707117,True
0.69,32,7.723423,True
0.63,38,7.742929,True
0.86,15,7.751404,True
2.5,50,7.776739,False
2.61,40,7.797565,True
0.69,32,7.814414,True
0.67,34,7.83168,True
1.68,33,7.848117,True
0.78,23,7.860124,True
1.75,26,7.873197,True
-0.5,50,8.832141,False
1.67,34,8.851129,True
1.82,19,8.862167,True
0.8,21,8.872863,True
4.69,32,8.891842,True
1.64,37,8.912902,True
2.71,30,8.929848,True
0.8,21,8.943629,True
0.57,44,8.968779,True
2.77,24,8.981983,True
1.78,23,8.995995,True
0.76,25,9.010866,True
1.66,35,9.029884,True
1.77,24,9.04185,True
1.78,23,9.053008,True
1.8,21,9.063211,True
2.81,20,9.072939,True
1.65,36,9.090801,True
0.74,27,9.104119,True
1.87,14,9.110893,True
1.82,19,9.119744,True
0.64,37,9.138315,True
1.77,24,9.150841,True
0.77,24,9.162194,True
4.72,29,9.176132,True
6.52,49,9.200633,True
1.73,28,9.214134,True
0.8,21,9.224095,True
3.64,37,9.24182,True
0.66,35,9.258529,True
2.71,30,9.277129,True
2.79,22,9.289422,True
1.76,25,9.302895,True
7.52,49,9.327884,True
3.5,50,9.353239,False
1.72,29,9.368995,True
0.63,38,9.387562,True
0.69,32,9.402888,True
1.78,23,9.413978,True
6.59,42,9.434386,True
1.8,21,9.44492,True
1.67,34,9.461416,True
1.64,37,9.479107,True
1.81,20,9.48853,True
1.89,12,9.49448,True
0.59,42,9.514655,True
1.73,28,9.528014,True
1.66,35,9.54507,True
0.66,35,9.562068,True
0.77,24,9.573545,True
1.64,37,9.591139,True
0.86,15,9.598165,True
1.86,15,9.605276,True
1.73,28,9.618412,True
1.61,40,9.637488,True
2.84,17,9.645731,True
1.74,27,9.658852,True
0.83,18,9.667619,True
1.74,27,9.680353,True
0.75,26,9.692737,True
0.87,14,9.699529,True
2.71,30,9.714897,True
1.75,26,9.727055,True
1.76,25,9.739135,True
0.64,37,9.756822,True
1.7,31,9.771696,True
0.84,17,9.779791,True
1.86,15,9.787299,True
1.53,48,9.810739,True
1.73,28,9.824075,True
1.78,23,9.835272,True
1.78,23,9.846131,True
0.8,21,9.856155,True
2.55,46,10.797348,True
1.64,37,10.81802,True
0.85,16,10.827943,True
0.83,18,10.83787,True
1.77,24,10.852275,True
1.83,18,10.863277,True
0.5,50,10.890727,False
1.87,14,10.901111,True
4.55,46,10.9316,True
1.77,24,10.945946,True
0.8,21,10.95846,True
7.52,49,10.984787,True
1.7,31,11.000471,True
1.65,36,11.017792,True
1.74,27,11.03071,True
3.61,40,11.050282,True
-0.5,50,11.074574,False
2.7,31,11.089874,True
1.76,25,11.101933,True
0.87,14,11.109044,True
5.66,35,11.125877,True
1.75,26,11.13867,True
2.65,36,11.156633,True
4.74,27,11.169764,True
0.5,50,11.194568,False
3.5,50,11.219762,False
1.68,33,11.236286,True
2.83,18,11.245067,True
1.5,50,11.270838,False
3.74,27,11.28429,True
0.83,18,11.29297,True
1.85,16,11.301298,True
0.66,35,11.319069,True
1.62,39,11.34076,True
2.5,50,11.366486,False
6.5,50,11.392303,False
1.69,32,11.40932,True
2.59,42,11.433057,True
3.57,44,11.458512,True
0.81,20,11.4698,True
2.51,50,11.495987,True
0.86,15,11.503971,True
2.76,25,11.517549,True
1.64,37,11.537881,True
1.78,23,11.550606,True
1.76,25,11.56392,True
0.77,24,11.576652,True
0.65,36,11.596005,True
0.83,18,11.604798,True
3.66,35,11.621737,True
3.71,30,11.636715,True
0.8,21,11.647247,True
1.83,18,11.656378,True
1.69,32,11.672701,True
1.8,21,11.683372,True
2.65,36,11.702069,True
1.65,36,11.720299,True
1.72,29,11.735076,True
1.81,20,11.744713,True
1.51,50,11.769975,True
3.74,27,11.783406,True
0.82,19,11.793385,True
0.77,24,11.806763,True
1.78,23,11.819375,True
0.81,20,11.829911,True
4.64,37,11.848701,True
1.76,25,12.793031,True
3.59,42,12.81859,True
1.75,26,12.834566,True
3.53,48,12.865301,True
1.77,24,12.88059,True
2.66,35,12.903293,True
5.5,50,12.934862,False
5.5,50,12.9684,False
3.5,50,12.995305,False
5.5,50,13.021686,False
1.74,27,13.03514,True
4.59,42,13.056419,True
4.5,50,13.0815,False
2.73,28,13.095299,True
1.81,20,13.104993,True
2.55,46,13.129826,True
0.84,17,13.137997,True
4.61,40,13.15808,True
1.77,24,13.169816,True
3.5,50,13.19425,False
2.5,50,13.21891,False
-0.5,50,13.243751,False
1.68,33,13.260714,True
0.72,29,13.275049,True
2.5,50,13.29921,False
1.62,39,13.3192,True
0.79,22,13.330486,True
2.54,47,13.353708,True
1.67,34,13.37049,True
3.61,40,13.389545,True
4.5,50,13.414063,False
5.5,50,13.438941,False
0.5,50,13.463721,False
0.64,37,13.481731,True
0.8,21,13.491825,True
3.5,50,13.517641,False
5.5,50,13.543404,False
1.74,27,13.556654,True
0.5,50,13.582258,False
0.81,20,13.592495,True
0.5,50,13.616819,False
2.83,18,13.625707,True
3.63,38,13.643912,True
1.77,24,13.655448,True
0.51,50,13.679681,True
1.8,21,13.69046,True
-0.5,50,13.715834,False
1.78,23,13.727402,True
0.5,50,13.752106,False
1.73,28,13.765796,True
3.6,41,13.785863,True
4.5,50,13.810264,False
2.77,24,13.82185,True
1.72,29,13.836473,True
1.5,50,14.793185,False
5.5,50,14.823655,False
4.5,50,14.854136,False
9.5,50,14.88436,False
6.65,36,14.906976,True
3.5,50,14.941568,False
1.5,50,14.972661,False
0.68,33,14.990482,True
0.57,44,15.013771,True
4.5,50,15.039549,False
-0.5,50,15.066021,False
6.5,50,15.092936,False
1.5,50,15.120608,False
2.56,45,15.145335,True
2.5,50,15.172494,False
6.5,50,15.199462,False
0.71,30,15.216029,True
1.5,50,15.242662,False
3.5,50,15.269398,False
6.5,50,15.295888,False
5.5,50,15.323067,False
0.77,24,15.336681,True
1.5,50,15.363852,False
2.5,50,15.390216,False
3.5,50,15.41642,False
4.75,26,15.430626,True
0.63,38,15.450515,True
3.5,50,15.477941,False
5.5,50,15.505378,False
0.5,50,15.533451,False
5.55,46,15.55854,True
0.5,50,15.584903,False
3.52,49,15.61084,True
4.5,50,15.637203,False
2.5,50,15.663731,False
7.5,50,15.690836,False
2.5,50,15.720034,False
1.5,50,15.749607,False
2.75,26,15.769429,True
4.57,44,15.792451,True
7.5,50,15.818561,False
8.5,50,15.84469,False
5.5,50,15.870786,False
4.7,31,15.887453,True
3.5,50,15.913645,False
-0.5,50,16.859491,False
4.5,50,16.891456,False
8.5,50,16.922704,False
6.5,50,16.953083,False
7.5,50,16.985432,False
2.5,50,17.01699,False
5.5,50,17.043041,False
6.5,50,17.069189,False
7.5,50,17.095175,False
2.6,41,17.11663,True
3.5,50,17.144202,False
6.5,50,17.171203,False
6.5,50,17.19748,False
2.5,50,17.224032,False
5.5,50,17.249886,False
1.5,50,17.276822,False
4.5,50,17.303043,False
7.5,50,17.329949,False
8.5,50,17.356715,False
2.5,50,17.383397,False
6.5,50,17.409678,False
8.5,50,17.435652,False
0.7,31,17.452124,True
8.5,50,17.478149,False
0.5,50,17.504108,False
10.5,50,17.530353,False
3.5,50,17.556823,False
5.5,50,17.583381,False
6.5,50,17.609751,False
6.5,50,17.636223,False
6.5,50,17.662788,False
10.5,50,17.689154,False
5.5,50,17.715739,False
2.5,50,17.742155,False
5.5,50,17.768424,False
7.5,50,17.794633,False
5.58,43,17.817247,True
2.5,50,17.843175,False
4.5,50,17.869781,False
3.73,28,17.884536,True
2.5,50,17.910906,False
3.5,50,17.937361,False
3.5,50,18.850934,False
9.5,50,18.880636,False
6.5,50,18.911582,False
7.5,50,18.939274,False
3.5,50,18.968341,False
6.5,50,18.999607,False
7.5,50,19.027272,False
9.5,50,19.053522,False
13.5,50,19.080289,False
8.5,50,19.107637,False
6.5,50,19.134425,False
8.5,50,19.161558,False
6.5,50,19.188077,False
10.5,50,19.21483,False
3.5,50,19.241642,False
9.5,50,19.267867,False
3.5,50,19.294001,False
10.5,50,19.320767,False
5.5,50,19.347977,False
15.5,50,19.374735,False
4.5,50,19.401304,False
12.5,50,19.427549,False
6.5,50,19.454121,False
7.5,50,19.48087,False
8.5,50,19.507172,False
6.5,50,19.533779,False
7.5,50,19.560706,False
4.5,50,19.586697,False
8.5,50,19.613419,False
7.5,50,19.639508,False
5.5,50,19.665893,False
5.5,50,19.692273,False
6.5,50,19.718298,False
3.5,50,19.744323,False
7.5,50,19.770635,False
3.5,50,19.796792,False
5.5,50,19.822816,False
3.5,50,19.848708,False
5.5,50,19.87554,False
8.5,50,19.902084,False
2.5,50,19.928427,False
11.5,50,20.830964,False
11.5,50,20.865072,False
5.5,50,20.896915,False
12.5,50,20.927998,False
17.5,50,20.958132,False
9.5,50,20.990378,False
14.5,50,21.016947,False
7.5,50,21.04327,False
9.5,50,21.069765,False
11.5,50,21.096068,False
11.5,50,21.122167,False
9.5,50,21.149091,False
8.5,50,21.17583,False
3.5,50,21.202286,False
11.5,50,21.22913,False
11.5,50,21.256064,False
13.5,50,21.282395,False
8.5,50,21.308577,False
13.5,50,21.335559,False
12.5,50,21.362994,False
8.5,50,21.389457,False
8.5,50,21.416068,False
17.5,50,21.44235,False
8.5,50,21.468759,False
10.5,50,21.494567,False
6.5,50,21.521093,False
8.5,50,21.547961,False
14.5,50,21.574161,False
11.5,50,21.60059,False
11.5,50,21.627113,False
6.5,50,21.653679,False
10.5,50,21.680001,False
15.5,50,21.706332,False
6.5,50,21.732208,False
13.5,50,21.758707,False
16.5,50,21.784951,False
10.5,50,21.811832,False
6.5,50,21.838473,False
15.5,50,21.864671,False
9.5,50,21.891469,False
13.5,50,21.918165,False
13.5,50,22.823848,False
8.5,50,22.854771,False
10.5,50,22.886565,False
12.5,50,22.9162,False
11.5,50,22.947891,False
11.5,50,22.979344,False
14.5,50,23.006766,False
12.5,50,23.032434,False
11.5,50,23.058425,False
12.5,50,23.084395,False
10.5,50,23.1107,False
14.5,50,23.137435,False
10.5,50,23.163827,False
9.5,50,23.190318,False
6.5,50,23.217069,False
13.5,50,23.243418,False
11.5,50,23.270636,False
14.5,50,23.296826,False
14.5,50,23.323598,False
12.5,50,23.3505,False
12.5,50,23.377175,False
11.5,50,23.40342,False
10.5,50,23.42988,False
14.5,50,23.456448,False
13.5,50,23.482581,False
17.5,50,23.508614,False
16.5,50,23.535205,False
12.5,50,23.562425,False
14.5,50,23.589113,False
13.5,50,23.615877,False
11.5,50,23.642304,False
10.5,50,23.668375,False
14.5,50,23.694927,False
14.5,50,23.721319,False
12.5,50,23.748003,False
15.5,50,23.774113,False
12.5,50,23.800636,False
10.5,50,23.827055,False
6.5,50,23.853,False
11.5,50,23.878916,False
15.5,50,23.904939,False
14.5,50,24.847425,False
15.5,50,24.877816,False
16.5,50,24.908343,False
13.5,50,24.937049,False
18.5,50,24.969152,False
17.5,50,25.001229,False
14.5,50,25.028297,False
17.5,50,25.054037,False
13.5,50,25.080125,False
11.5,50,25.106166,False
16.5,50,25.132804,False
17.5,50,25.159962,False
16.5,50,25.186051,False
12.5,50,25.21282,False
20.5,50,25.239695,False
15.5,50,25.265729,False
14.5,50,25.291501,False
17.5,50,25.318156,False
17.5,50,25.345932,False
15.5,50,25.373489,False
13.5,50,25.399729,False
14.5,50,25.426788,False
14.5,50,25.452754,False
13.5,50,25.47885,False
15.5,50,25.505055,False
14.5,50,25.531408,False
15.5,50,25.558586,False
15.5,50,25.585021,False
12.5,50,25.611333,False
17.5,50,25.637426,False
14.5,50,25.663808,False
11.5,50,25.689914,False
12.5,50,25.716384,False
19.5,50,25.742855,False
14.5,50,25.769162,False
14.5,50,25.795313,False
17.5,50,25.821513,False
11.5,50,25.847659,False
17.5,50,25.873892,False
16.5,50,25.900369,False
11.5,50,26.830275,False
11.5,50,26.859194,False
12.5,50,26.890623,False
17.5,50,26.920682,False
15.5,50,26.950517,False
14.5,50,26.979817,False
17.5,50,27.010785,False
17.5,50,27.037721,False
16.5,50,27.064582,False
17.5,50,27.091139,False
18.5,50,27.117319,False
21.5,50,27.144422,False
17.5,50,27.171184,False
19.5,50,27.197517,False
15.5,50,27.224149,False
20.5,50,27.250374,False
19.5,50,27.276212,False
14.5,50,27.302332,False
16.5,50,27.32951,False
16.5,50,27.356938,False
19.5,50,27.383371,False
19.5,50,27.409702,False
15.5,50,27.435775,False
16.5,50,27.461701,False
18.5,50,27.487654,False
20.5,50,27.514008,False
20.5,50,27.540546,False
14.5,50,27.566803,False
19.5,50,27.59321,False
16.5,50,27.6195,False
17.5,50,27.645881,False
16.5,50,27.672768,False
15.5,50,27.698535,False
16.5,50,27.724275,False
17.5,50,27.750575,False
16.5,50,27.77587,False
13.5,50,27.801598,False
14.5,50,27.82725,False
17.5,50,27.852652,False
12.5,50,27.878154,False
18.5,50,27.903855,False
18.5,50,28.78614,False
18.5,50,28.81443,False
14.5,50,28.844657,False
17.5,50,28.876595,False
19.5,50,28.9039,False
20.5,50,28.935092,False
17.5,50,28.965346,False
14.5,50,28.992547,False
18.5,50,29.017815,False
21.5,50,29.043238,False
21.5,50,29.068684,False
18.5,50,29.094553,False
16.5,50,29.119703,False
18.5,50,29.145742,False
17.5,50,29.172089,False
17.5,50,29.197872,False
17.5,50,29.22387,False
16.5,50,29.249473,False
20.5,50,29.275086,False
18.5,50,29.3007,False
19.5,50,29.326708,False
16.5,50,29.353086,False
21.5,50,29.379312,False
16.5,50,29.405194,False
17.5,50,29.431061,False
19.5,50,29.457112,False
18.5,50,29.482859,False
19.5,50,29.508609,False
19.5,50,29.534467,False
19.5,50,29.559564,False
15.5,50,29.585423,False
19.5,50,29.610801,False
19.5,50,29.636283,False
13.5,50,29.661833,False
18.5,50,29.68736,False
22.5,50,29.71277,False
18.5,50,29.738266,False
18.5,50,29.763922,False
15.5,50,29.789346,False
14.5,50,29.814736,False
20.5,50,29.840099,False
17.5,50,30.740091,False
21.5,50,30.770194,False
